PinOut_1,PinOut_2,Voltage_1,Voltage_2,P_x,P_y,S1,dS1_dV,dPx_dV,dPy_dV,Mode_Locked,S1_MLd
220,73,4.3137255,1.4313725,34,56,-0.2444,0.0073,3,4,0,#N/A
220,74,4.3137255,1.4509804,36,71,-0.3271,0.0827,-2,-15,0,#N/A
220,75,4.3137255,1.4705882,40,56,-0.1667,-0.1604,-4,15,0,#N/A
220,76,4.3137255,1.4901961,42,62,-0.1923,0.0256,-2,-6,0,#N/A
220,77,4.3137255,1.5098039,39,54,-0.1613,-0.031,3,8,0,#N/A
220,78,4.3137255,1.5294118,53,50,0.0291,-0.1904,-14,4,0,#N/A
220,79,4.3137255,1.5490196,46,49,-0.0316,0.0607,7,1,0,#N/A
220,80,4.3137255,1.5686275,55,55,0,-0.0316,-9,-6,0,#N/A
220,81,4.3137255,1.5882353,56,40,0.1667,-0.1667,-1,15,0,#N/A
220,82,4.3137255,1.6078431,66,46,0.1786,-0.0119,-10,-6,0,#N/A
220,83,4.3137255,1.627451,70,52,0.1475,0.0311,-4,-6,0,#N/A
220,84,4.3137255,1.6470588,70,42,0.25,-0.1025,0,10,0,#N/A
220,85,4.3137255,1.6666667,69,40,0.2661,-0.0161,1,2,0,#N/A
220,86,4.3137255,1.6862745,71,37,0.3148,-0.0487,-2,3,0,#N/A
220,87,4.3137255,1.7058824,81,37,0.3729,-0.0581,-10,0,0,#N/A
220,88,4.3137255,1.7254902,79,28,0.4766,-0.1037,2,9,0,#N/A
220,89,4.3137255,1.745098,88,32,0.4667,0.0099,-9,-4,0,#N/A
220,90,4.3137255,1.7647059,84,32,0.4483,0.0184,4,0,0,#N/A
220,91,4.3137255,1.7843137,85,27,0.5179,-0.0696,-1,5,0,#N/A
220,92,4.3137255,1.8039216,95,15,0.7273,-0.2094,-10,12,0,#N/A
220,93,4.3137255,1.8235294,97,20,0.6581,0.0692,-2,-5,0,#N/A
